怀	937
挂	1964
耀	1061
涉	1522
谈	1410
随	280
抗	1277
料	504
亟	1716
造	1283
錢	1453
般	1120
潜	1423
河	1146
欲	1613
侵	694
临	1425
然	247
吸	556
场	34
宽	2265
线	240
@	2350
捂	2172
反	414
牌	2098
科	687
院	1802
纸	550
若	1389
话	422
赞	1472
凡	1358
卢	1942
知	125
除	135
罪	1634
揭	2476
扬	661
╮	907
其	470
痹	876
驼	2351
绿	846
愁	2463
覆	1281
沈	1882
個	1323
沌	2260
引	557
应	432
謝	737
儡	376
滤	1763
假	965
崩	858
+	1640
循	369
芬	1220
是	86
讲	259
溟	1849
刷	730
咸	1796
视	413
か	2027
俊	1605
嗎	1332
契	1247
惹	2269
寒	1603
录	81
绔	1698
典	655
教	197
柚	2096
也	311
艾	1830
秦	1019
括	1694
景	699
滴	1179
凶	2457
须	300
基	211
孽	1859
广	221
巾	2153
殇	2195
沉	1766
醋	2423
上	112
后	17
频	12
餐	1037
經	1622
底	339
怖	886
蒙	419
售	1535
剛	1594
芭	2376
足	466
亵	1962
伴	1103
妈	165
离	1066
鬼	371
尾	28
框	1131
泉	896
晚	493
迟	255
牢	1707
柯	1685
跳	8
該	1398
轴	1669
号	163
偶	1554
移	497
贾	2359
老	200
节	381
★	2416
蜗	678
消	92
亊	2467
厌	868
眏	2019
候	139
媒	2059
悖	784
侃	2231
伟	1154
冠	1801
纪	1561
术	609
辜	1791
吹	1200
＿	2198
精	797
拂	1940
歇	2496
汉	658
珍	1931
克	999
今	648
前	13
双	1183
坏	1310
哎	1950
姐	722
幕	142
翔	1564
ち	2023
几	14
巨	756
绪	1767
扭	962
杯	2481
筒	2336
卷	203
固	6
导	58
脂	2403
萄	1267
辉	2401
再	74
「	977
咏	2238
库	1492
尔	1585
摘	2109
炮	1639
沟	1119
伞	1701
删	408
碧	1211
符	1232
義	1907
爆	1543
亲	296
水	767
禽	1084
所	489
琊	1556
旅	1147
么	50
勋	900
重	313
灌	1995
结	27
渎	1963
学	650
臭	1739
诱	2287
培	830
秽	1288
持	517
技	608
彪	2132
标	533
載	1593
予	1160
越	616
瞎	1443
笑	1334
耗	594
缘	1315
袜	2434
辞	2100
匡	1894
加	147
钤	2155
缩	1637
纨	1696
悬	2001
贵	945
碼	1326
尿	1993
晃	1442
懂	811
故	760
蓄	2337
识	1080
轉	2211
配	545
侣	2361
城	910
筑	2410
闹	1162
秒	15
江	1118
连	643
卡	397
癣	2257
略	883
彩	1500
扫	838
惬	2392
乳	2421
绒	1719
赵	762
偷	2079
叶	975
相	175
好	149
邀	1292
争	586
王	1040
球	1264
嘎	789
崔	1355
或	32
趟	764
务	437
花	365
钥	2412
唤	2498
糖	2396
莫	581
斯	1193
澳	1458
贴	1370
冷	1140
制	303
霸	1834
礼	591
②	1897
擅	1547
友	239
煌	1922
嫑	1990
子	373
糕	770
毛	1070
跟	787
占	344
哥	976
绩	2262
胭	2402
谓	2245
普	684
寻	994
幾	2452
掀	2325
會	1303
搅	2135
薄	1347
複	1633
三	295
辈	1858
逍	1011
册	63
鼓	1218
講	1904
榜	1557
负	853
㈡	204
圣	798
大	361
窦	1795
茫	1725
-	1376
支	333
樱	2248
记	229
状	602
無	1789
权	123
义	729
迈	2112
瓶	2415
遍	181
里	412
問	1399
雎	2235
当	236
展	1550
拖	1319
滞	1888
珠	1117
督	1764
恭	805
╯	904
蛮	1693
保	260
佳	1239
具	120
铺	2314
肃	1778
蜂	1489
咋	865
權	1632
抬	1532
墓	2357
暗	879
‘	1375
沛	1582
挚	1652
依	306
东	391
那	218
玥	2042
判	1711
座	832
铁	1690
段	284
訴	2123
区	342
徽	571
社	851
旁	2021
胃	1418
杂	1366
爷	1268
觉	707
案	1016
陌	2049
归	1123
违	1174
楞	823
面	83
句	1189
继	216
給	1752
秩	2328
深	1031
汰	2334
洒	2221
诵	113
雷	1855
當	1630
系	714
忽	882
幼	1976
竿	1861
考	205
茅	1688
抄	2290
万	1590
吋	2455
殊	1350
頓	1592
徒	2051
溜	1359
锡	1087
愚	1659
天	387
墨	2144
宪	2330
石	1253
贱	2052
炸	1916
麼	1911
稿	263
野	1721
忒	1682
孕	1927
機	1324
灣	1771
勤	2414
左	507
烽	1885
葫	1978
扯	665
泰	1192
陷	849
に	2024
类	430
综	1364
穿	2007
昂	1497
開	1302
樊	1187
粑	2474
蕙	2300
笔	1126
林	405
搖	2210
涛	1357
唠	1608
墩	2191
本	61
洲	2169
点	353
刺	742
纽	1925
宿	1300
時	1631
担	1318
过	9
豆	2424
棉	2293
雍	2255
過	2124
結	1596
姓	1308
答	418
爸	475
作	619
噢	1161
忧	2490
票	429
走	1021
瑶	1864
酸	933
绽	2206
彼	799
寿	1577
顾	348
暂	272
锋	2384
少	590
朗	358
’	1377
洛	1972
抚	1025
丝	1112
遵	1536
弧	803
谱	1205
躲	952
锟	2085
總	1591
潇	2220
览	988
降	1805
协	453
郎	337
黒	1578
赛	2080
九	872
远	1122
团	388
古	654
姨	2286
药	1970
仲	2084
说	322
银	1339
幽	1850
翼	914
极	1654
隋	1058
同	623
猎	1106
帐	614
研	628
战	585
些	184
脚	1513
坛	1968
產	2067
冥	2093
太	396
断	329
肯	1093
辱	2054
丰	1663
悲	1753
券	992
麻	875
尼	667
渊	2078
但	119
诉	786
像	568
华	672
忑	2420
塔	1636
托	1227
距	1668
旭	1409
惯	579
据	526
买	104
鱼	1493
签	1036
來	1730
和	16
透	1892
庐	2346
折	1649
丛	2002
贝	1635
痛	1770
尧	1957
骨	2069
液	1671
崽	1566
汇	209
歉	1050
偏	1958
网	330
浏	987
著	1064
诞	2180
睡	878
因	159
酥	1291
孩	893
虫	1673
╭	903
息	73
狸	2097
幻	1871
出	69
顿	227
最	308
踪	1495
誉	2253
型	944
斗	796
辛	1365
還	2068
眠	2056
带	946
笨	2121
枫	974
堪	2076
播	106
蔬	2308
估	1679
梵	1349
喷	2090
阶	1644
犹	2016
缓	635
杀	1274
情	268
响	224
界	636
量	275
黑	968
齐	1709
寓	1438
奔	1322
旗	1736
进	341
聚	2480
妻	1611
盡	1961
靠	877
口	1102
呢	64
巧	1869
敬	1734
扮	813
佰	2283
闷	822
陶	2241
卸	612
翻	1487
驾	1474
范	2362
蒂	1951
者	33
了	59
看	72
名	438
徐	1552
暖	364
肚	776
語	1746
鞠	2426
钢	1846
冤	2344
紧	1305
麦	1152
末	357
搭	2008
辰	2017
男	814
爹	605
為	1910
尽	552
說	2451
诈	1236
委	1275
敗	2280
佛	864
遥	1012
凤	290
侦	2013
葭	1057
旬	1877
乱	318
述	1231
零	1110
特	593
司	424
彻	2341
盾	2268
饿	2101
要	166
沃	1381
辅	57
脆	1576
序	317
逐	356
阔	1284
会	270
虚	1137
焦	1293
被	343
训	831
薇	2197
尸	2204
傻	1337
缺	848
皿	1909
见	366
血	1212
经	171
金	622
鹤	1924
周	1000
语	117
浮	1848
奶	1868
调	574
验	66
香	782
吓	940
隔	1900
星	641
颠	1280
客	349
弥	862
纤	2322
咨	1008
檬	818
港	1457
脱	2141
證	1772
莲	1686
朵	757
暴	1415
岸	2364
逻	2133
阿	501
疾	1866
检	970
扇	2157
嫌	450
鹏	2223
兑	541
伢	2106
く	2029
浙	1642
[	625
拜	1116
號	1325
剧	444
淮	2398
菲	1589
更	140
穷	874
糸	1672
狼	1843
袁	399
态	603
划	532
沙	1213
业	829
芝	1948
搞	610
夠	2064
缤	2251
咩	2295
用	101
侯	1887
粹	1947
冻	1307
瞿	2297
裁	998
跃	1991
仅	1223
纷	1816
菇	2227
聆	2409
蓉	1441
效	41
始	567
忏	1967
屎	1563
郑	1501
児	1956
诗	359
入	481
绥	920
陪	1542
色	781
顶	1996
击	562
瑾	2417
清	134
辄	1822
指	469
肆	1244
肖	1982
稍	967
完	248
式	540
】	1346
聯	1728
亚	1646
期	642
堡	800
群	496
邦	2222
伯	1309
昵	898
尹	2373
爽	1512
久	763
俄	1949
富	1664
勒	1089
陕	2103
淘	1476
滚	2046
菜	816
束	990
卧	1586
烦	891
门	1559
雪	1431
诬	1508
软	484
柴	2274
养	1521
建	880
叼	957
链	1516
言	888
溃	859
褂	810
超	256
骋	2397
鼎	2448
抛	1360
溧	2111
审	281
娠	779
夢	1627
尤	887
噜	2411
莱	1926
舰	1737
常	152
值	427
圾	97
证	67
仃	1667
捆	1717
立	1417
种	724
題	1400
发	257
罢	1713
痕	1158
这	21
湘	1217
招	1263
赚	941
\	1985
寡	2406
廣	964
工	948
烧	386
卦	2289
韩	2435
器	935
番	1105
轮	1616
扰	1546
蛳	1530
幸	1314
七	319
概	1306
有	3
程	482
复	79
小	178
美	326
醒	251
伙	1426
供	1571
鸣	1498
通	170
粤	1565
厦	1157
构	1480
侮	2053
憲	844
家	575
弹	220
庸	1241
刻	1404
炼	835
观	956
浅	1390
蝉	2316
屏	485
狐	2370
街	2116
余	950
付	334
惜	911
章	537
幣	1452
で	2032
另	520
雨	291
闪	565
修	402
兽	1712
较	969
舆	2319
月	383
宋	1180
碍	589
倒	916
咕	808
优	704
肝	2311
笠	2302
粥	2461
在	109
琪	1863
抱	938
脉	2408
去	71
瘾	1491
促	2400
桂	1502
资	503
奌	1450
韓	1219
畔	2329
仙	771
潘	2184
換	1451
豚	1413
嫡	287
坨	1562
毫	1245
路	460
贼	1437
英	190
聲	1745
整	828
究	683
都	90
兼	1030
百	587
讀	1726
谅	1867
址	1572
刑	327
吕	1029
喔	2035
思	515
膜	464
宠	1610
瘩	2176
咪	1262
贯	2139
亮	607
育	1167
戟	1981
医	286
难	150
裂	1975
荷	1890
拆	1202
擊	2387
剑	1703
呕	2367
减	1023
乙	2310
还	100
]	627
绑	495
照	836
险	815
哪	231
葵	1889
卻	2066
长	792
图	315
漂	2237
希	0
躬	2427
疑	451
吐	2000
邓	2250
厕	1369
枝	841
由	601
ず	2026
锦	1955
匪	2242
戴	1503
康	1732
妹	2091
势	1820
毅	1463
蛇	2173
坠	1874
應	1397
忍	2010
幌	2214
呐	1435
青	743
赖	1539
拟	207
形	1524
啦	384
鞋	2433
蹦	1496
迭	1238
想	108
廷	1265
勿	1378
洁	1553
愉	2261
係	1729
錕	2088
朝	360
舟	1251
骤	2041
储	467
玪	1615
京	1022
耳	755
夹	463
流	274
桃	2249
及	960
屋	1915
道	126
单	367
度	478
棘	2129
葛	1836
诚	775
嗦	1454
煩	1749
部	524
豫	1797
只	459
们	194
恳	1033
她	1312
寺	1769
盼	1049
肉	2205
愈	2466
宏	2318
唐	421
蜜	1959
素	1731
否	584
亭	1930
讯	1095
膳	1411
德	1100
夸	1715
喻	1700
眼	338
县	2263
倾	1944
绍	1249
衣	1222
哑	2163
動	2094
俗	773
曝	1681
杜	2131
^	2102
童	174
孤	2405
岁	1973
全	202
淫	1287
剪	1028
转	924
误	564
╰	905
至	692
壹	2284
奸	1132
闻	547
空	468
国	116
逼	670
谁	549
把	235
龌	1170
碎	2196
向	947
众	1081
嗅	2209
果	611
红	843
室	1648
努	2407
中	172
萱	2394
新	133
画	599
檞	2279
淀	2464
评	727
风	660
盒	1462
叔	1363
急	486
柜	279
损	1098
胞	1459
哦	695
约	713
蹭	1938
森	2352
曲	368
援	2369
项	276
莉	2292
白	35
卿	2095
一	4
掉	347
戈	1684
剌	2358
姻	2493
途	266
搜	51
悟	1977
御	1808
索	52
妥	1206
玩	98
享	697
梯	1893
芳	597
容	186
示	250
喽	2472
琼	1798
迁	2070
乀	1873
麟	2239
屌	1141
限	847
楚	1039
翡	1932
嫣	2047
坦	1755
武	404
柱	693
晰	712
懵	2217
对	689
電	2444
呼	1680
企	708
涂	1511
按	241
隐	1285
纠	615
吧	340
动	146
丫	2105
购	103
议	881
朱	930
阻	1999
禺	1965
什	94
摇	2355
捉	1184
坑	604
踢	1407
汗	1943
_	701
奥	953
琦	2354
曰	1065
艳	2004
筹	1188
登	80
哼	1271
偿	1479
現	1629
躁	2353
航	2186
梅	2273
文	118
律	1537
鲍	2259
福	1228
税	428
世	794
张	720
宣	1575
助	454
倪	1156
仁	1209
求	511
装	731
拉	410
绘	1313
聊	857
捣	1408
监	1379
坐	1917
兔	1333
湖	1986
健	1884
蓝	889
迫	2340
な	2030
杰	1210
并	304
竹	2009
顺	390
丁	1567
孔	2190
授	852
＋	1832
夏	446
咒	1997
洗	747
殘	1906
望	1
感	706
鸡	1173
唧	2305
利	1072
漫	1899
邪	2244
谭	1382
悚	2071
宸	2138
疼	777
儿	173
激	749
规	780
惊	996
籍	1601
奏	30
艹	2277
卓	1092
哒	2110
他	164
诘	1814
棚	1779
忠	1653
季	981
秤	1756
剩	1048
叨	2152
致	271
延	254
穹	1234
寸	1831
命	1414
勾	1600
退	182
舌	1969
且	346
疙	2175
鐘	2127
宝	919
娜	1007
废	1320
谨	1298
伪	2247
爬	2315
键	959
岳	738
方	233
机	162
証	1788
亿	1953
派	1013
铃	1163
附	718
屈	1276
揍	2136
扌	2164
乔	1674
狗	1169
员	458
―	2393
坚	1913
统	833
`	2234
换	160
查	746
【	1345
烫	1638
班	790
念	819
年	629
拷	2215
摸	1799
诽	2324
傀	375
吃	804
厂	1225
的	18
馆	934
羊	1720
氓	351
五	523
列	645
错	563
窜	2442
鸟	1856
探	1207
数	652
贩	1368
失	512
碰	1068
户	352
改	354
撸	2477
螺	1529
允	1148
呃	1523
参	529
免	273
恋	1903
毒	1952
何	130
仔	1607
留	855
孝	2189
州	897
惠	991
来	70
触	1650
浩	2301
注	62
火	1393
迪	1255
独	677
问	48
声	144
米	673
维	1097
湿	1082
し	2028
宇	2099
堆	1130
粉	1111
憋	1992
井	2165
演	728
咙	2296
甘	1777
窝	1490
龟	2399
股	1054
质	551
个	5
〉	2441
纵	1662
缴	1047
获	671
耶	1327
攸	2015
便	234
嘴	1214
郁	821
剂	1301
雅	411
篇	1186
渍	2335
苍	1233
捌	2011
後	1394
受	758
啥	143
属	1569
胡	791
强	1104
饰	1583
巳	2040
绵	2200
恶	657
數	2389
智	1191
歼	2473
送	294
冀	915
阅	89
闯	2275
领	1311
床	2233
舍	355
掌	278
树	2458
北	717
宜	1371
弟	1678
!	398
抢	2137
春	363
欧	2294
梦	1336
谩	1533
溪	1883
鹳	1775
钮	638
讼	2326
净	514
狂	1373
际	1230
母	577
才	177
擎	2162
返	75
南	801
祛	2148
赎	2386
凑	2395
散	1826
歧	1902
跨	1294
八	320
仪	1041
称	439
捷	1134
使	350
刀	1580
各	1488
师	56
奖	1708
而	345
亓	1250
气	153
化	705
嘘	783
媛	1833
甚	691
∠	2380
丨	2166
洪	1835
咯	472
箱	264
纳	932
尴	1759
·	2003
茶	1945
格	1499
病	1085
苋	1204
职	1702
李	188
译	1879
仓	1758
卖	984
阎	2338
糟	321
～	332
慢	283
日	649
警	328
俩	2058
浪	1143
凭	1128
藩	1181
槽	1587
锅	2429
缉	1854
专	559
逗	1599
玖	2012
碜	1604
羞	2170
挡	926
撤	1434
亨	1525
别	310
催	2118
启	488
帳	1391
註	1328
达	785
十	680
畅	1367
哄	2327
密	918
终	928
手	161
背	698
角	1446
遗	1811
取	91
静	892
盘	842
祝	1966
龄	1560
详	637
佩	1761
跪	1865
六	761
筱	2077
平	110
書	1727
垃	96
适	856
甄	2081
妇	1853
尊	1733
悍	2146
明	543
输	908
隙	2485
额	425
夜	740
玫	1934
疯	1372
阮	2185
携	1086
举	1051
婆	1954
父	576
慌	2120
藏	759
虎	861
法	55
赔	1478
恢	78
滩	1221
轨	2272
叫	1133
豪	1444
郭	1088
公	423
嗯	2143
曹	2187
读	114
楼	901
湾	2034
